round,tau,fpr_ewma_pct,margin_min_anom_over_tau
r0,1.00,9.25,7.873
r0,1.50,5.88,5.249
r0,2.00,4.25,3.936
r0,2.50,3.75,3.149
r0,3.00,3.38,2.624
r0,3.50,3.12,2.249
r0,4.00,2.75,1.968
r0,4.50,2.50,1.750
r0,5.00,2.00,1.575
r0,5.50,1.75,1.431
r0,6.00,1.75,1.312
r0,6.50,1.50,1.211
r0,7.00,1.25,1.125
r0,7.50,1.12,1.050
r0,8.00,0.88,0.984
r0,8.50,0.88,0.926
r0,9.00,0.62,0.875
r0,9.50,0.62,0.829
r0,10.00,0.50,0.787
r0,10.50,0.38,0.750
r0,11.00,0.25,0.716
r0,11.50,0.25,0.685
r0,12.00,0.12,0.656
r1,1.00,6.00,10.480
r1,1.50,3.62,6.987
r1,2.00,2.50,5.240
r1,2.50,1.88,4.192
r1,3.00,1.25,3.493
r1,3.50,1.00,2.994
r1,4.00,0.75,2.620
r1,4.50,0.50,2.329
r1,5.00,0.38,2.096
r1,5.50,0.25,1.905
r1,6.00,0.00,1.747
r1,6.50,0.00,1.612
r1,7.00,0.00,1.497
r1,7.50,0.00,1.397
r1,8.00,0.00,1.310
r1,8.50,0.00,1.233
r1,9.00,0.00,1.164
r1,9.50,0.00,1.103
r1,10.00,0.00,1.048
r1,10.50,0.00,0.998
r1,11.00,0.00,0.953
r1,11.50,0.00,0.911
r1,12.00,0.00,0.873
r2,1.00,5.75,13.524
r2,1.50,3.08,9.016
r2,2.00,1.67,6.762
r2,2.50,1.10,5.410
r2,3.00,0.85,4.508
r2,3.50,0.70,3.864
r2,4.00,0.58,3.381
r2,4.50,0.52,3.005
r2,5.00,0.43,2.705
r2,5.50,0.37,2.459
r2,6.00,0.34,2.254
r2,6.50,0.30,2.081
r2,7.00,0.29,1.932
r2,7.50,0.27,1.803
r2,8.00,0.26,1.691
r2,8.50,0.25,1.591
r2,9.00,0.24,1.503
r2,9.50,0.23,1.424
r2,10.00,0.22,1.352
r2,10.50,0.21,1.288
r2,11.00,0.20,1.229
r2,11.50,0.18,1.176
r2,12.00,0.17,1.127
